,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,15440642,60315,NIFTY24MAR14000CE,NIFTY,0.0,2024-03-28,14000.0,0.05,50,CE,NFO-OPT,NFO
1,15441154,60317,NIFTY24MAR15000CE,NIFTY,0.0,2024-03-28,15000.0,0.05,50,CE,NFO-OPT,NFO
2,15441666,60319,NIFTY24MAR16000CE,NIFTY,0.0,2024-03-28,16000.0,0.05,50,CE,NFO-OPT,NFO
3,15442178,60321,NIFTY24MAR17000CE,NIFTY,0.0,2024-03-28,17000.0,0.05,50,CE,NFO-OPT,NFO
4,15442690,60323,NIFTY24MAR18000CE,NIFTY,0.0,2024-03-28,18000.0,0.05,50,CE,NFO-OPT,NFO
5,15443202,60325,NIFTY24MAR19000CE,NIFTY,0.0,2024-03-28,19000.0,0.05,50,CE,NFO-OPT,NFO
6,17206274,67212,NIFTY24MAR19500CE,NIFTY,0.0,2024-03-28,19500.0,0.05,50,CE,NFO-OPT,NFO
7,17206786,67214,NIFTY24MAR19550CE,NIFTY,0.0,2024-03-28,19550.0,0.05,50,CE,NFO-OPT,NFO
8,17207298,67216,NIFTY24MAR19600CE,NIFTY,0.0,2024-03-28,19600.0,0.05,50,CE,NFO-OPT,NFO
9,17207810,67218,NIFTY24MAR19650CE,NIFTY,0.0,2024-03-28,19650.0,0.05,50,CE,NFO-OPT,NFO
10,17208322,67220,NIFTY24MAR19700CE,NIFTY,0.0,2024-03-28,19700.0,0.05,50,CE,NFO-OPT,NFO
11,17208834,67222,NIFTY24MAR19750CE,NIFTY,0.0,2024-03-28,19750.0,0.05,50,CE,NFO-OPT,NFO
12,17209346,67224,NIFTY24MAR19800CE,NIFTY,0.0,2024-03-28,19800.0,0.05,50,CE,NFO-OPT,NFO
13,17209858,67226,NIFTY24MAR19850CE,NIFTY,0.0,2024-03-28,19850.0,0.05,50,CE,NFO-OPT,NFO
14,17210370,67228,NIFTY24MAR19900CE,NIFTY,0.0,2024-03-28,19900.0,0.05,50,CE,NFO-OPT,NFO
15,17210882,67230,NIFTY24MAR19950CE,NIFTY,0.0,2024-03-28,19950.0,0.05,50,CE,NFO-OPT,NFO
16,15443714,60327,NIFTY24MAR20000CE,NIFTY,0.0,2024-03-28,20000.0,0.05,50,CE,NFO-OPT,NFO
17,17211394,67232,NIFTY24MAR20050CE,NIFTY,0.0,2024-03-28,20050.0,0.05,50,CE,NFO-OPT,NFO
18,17211906,67234,NIFTY24MAR20100CE,NIFTY,0.0,2024-03-28,20100.0,0.05,50,CE,NFO-OPT,NFO
19,17212418,67236,NIFTY24MAR20150CE,NIFTY,0.0,2024-03-28,20150.0,0.05,50,CE,NFO-OPT,NFO
20,17212930,67238,NIFTY24MAR20200CE,NIFTY,0.0,2024-03-28,20200.0,0.05,50,CE,NFO-OPT,NFO
21,17213442,67240,NIFTY24MAR20250CE,NIFTY,0.0,2024-03-28,20250.0,0.05,50,CE,NFO-OPT,NFO
22,17213954,67242,NIFTY24MAR20300CE,NIFTY,0.0,2024-03-28,20300.0,0.05,50,CE,NFO-OPT,NFO
23,17214466,67244,NIFTY24MAR20350CE,NIFTY,0.0,2024-03-28,20350.0,0.05,50,CE,NFO-OPT,NFO
24,17215234,67247,NIFTY24MAR20400CE,NIFTY,0.0,2024-03-28,20400.0,0.05,50,CE,NFO-OPT,NFO
25,17215746,67249,NIFTY24MAR20450CE,NIFTY,0.0,2024-03-28,20450.0,0.05,50,CE,NFO-OPT,NFO
