,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,13368834,52222,NIFTY24APRFUT,NIFTY,0.0,2024-04-25,0.0,0.05,50,FUT,NFO-FUT,NFO
1,9372674,36612,NIFTY24MARFUT,NIFTY,0.0,2024-03-28,0.0,0.05,50,FUT,NFO-FUT,NFO
2,12014082,46930,NIFTY24MAYFUT,NIFTY,0.0,2024-05-30,0.0,0.05,50,FUT,NFO-FUT,NFO
3,13368322,52220,BANKNIFTY24APRFUT,BANKNIFTY,0.0,2024-04-24,0.0,0.05,15,FUT,NFO-FUT,NFO
4,8965122,35020,BANKNIFTY24JUNFUT,BANKNIFTY,0.0,2024-06-26,0.0,0.05,15,FUT,NFO-FUT,NFO
5,12012290,46923,BANKNIFTY24MAYFUT,BANKNIFTY,0.0,2024-05-29,0.0,0.05,15,FUT,NFO-FUT,NFO
6,13369090,52223,AARTIIND24APRFUT,AARTIIND,0.0,2024-04-25,0.0,0.05,1000,FUT,NFO-FUT,NFO
7,9895682,38655,AARTIIND24MARFUT,AARTIIND,0.0,2024-03-28,0.0,0.05,1000,FUT,NFO-FUT,NFO
8,12014338,46931,AARTIIND24MAYFUT,AARTIIND,0.0,2024-05-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
9,13374978,52246,ABB24APRFUT,ABB,0.0,2024-04-25,0.0,0.05,125,FUT,NFO-FUT,NFO
10,9895938,38656,ABB24MARFUT,ABB,0.0,2024-03-28,0.0,0.05,125,FUT,NFO-FUT,NFO
11,12014594,46932,ABB24MAYFUT,ABB,0.0,2024-05-30,0.0,0.05,125,FUT,NFO-FUT,NFO
12,13375234,52247,ABBOTINDIA24APRFUT,ABBOTINDIA,0.0,2024-04-25,0.0,0.05,40,FUT,NFO-FUT,NFO
13,9927682,38780,ABBOTINDIA24MARFUT,ABBOTINDIA,0.0,2024-03-28,0.0,0.05,40,FUT,NFO-FUT,NFO
14,12014850,46933,ABBOTINDIA24MAYFUT,ABBOTINDIA,0.0,2024-05-30,0.0,0.05,40,FUT,NFO-FUT,NFO
15,13375490,52248,ABCAPITAL24APRFUT,ABCAPITAL,0.0,2024-04-25,0.0,0.05,5400,FUT,NFO-FUT,NFO
16,9927938,38781,ABCAPITAL24MARFUT,ABCAPITAL,0.0,2024-03-28,0.0,0.05,5400,FUT,NFO-FUT,NFO
17,12068866,47144,ABCAPITAL24MAYFUT,ABCAPITAL,0.0,2024-05-30,0.0,0.05,5400,FUT,NFO-FUT,NFO
18,13375746,52249,ABFRL24APRFUT,ABFRL,0.0,2024-04-25,0.0,0.05,2600,FUT,NFO-FUT,NFO
19,9928194,38782,ABFRL24MARFUT,ABFRL,0.0,2024-03-28,0.0,0.05,2600,FUT,NFO-FUT,NFO
20,12069122,47145,ABFRL24MAYFUT,ABFRL,0.0,2024-05-30,0.0,0.05,2600,FUT,NFO-FUT,NFO
21,13376002,52250,ACC24APRFUT,ACC,0.0,2024-04-25,0.0,0.05,300,FUT,NFO-FUT,NFO
22,9928450,38783,ACC24MARFUT,ACC,0.0,2024-03-28,0.0,0.05,300,FUT,NFO-FUT,NFO
23,12148482,47455,ACC24MAYFUT,ACC,0.0,2024-05-30,0.0,0.05,300,FUT,NFO-FUT,NFO
24,13376258,52251,ADANIENT24APRFUT,ADANIENT,0.0,2024-04-25,0.0,0.05,300,FUT,NFO-FUT,NFO
25,9929218,38786,ADANIENT24MARFUT,ADANIENT,0.0,2024-03-28,0.0,0.05,300,FUT,NFO-FUT,NFO
26,12148738,47456,ADANIENT24MAYFUT,ADANIENT,0.0,2024-05-30,0.0,0.05,300,FUT,NFO-FUT,NFO
27,13376514,52252,ADANIPORTS24APRFUT,ADANIPORTS,0.0,2024-04-25,0.0,0.05,800,FUT,NFO-FUT,NFO
28,9929474,38787,ADANIPORTS24MARFUT,ADANIPORTS,0.0,2024-03-28,0.0,0.05,800,FUT,NFO-FUT,NFO
29,12148994,47457,ADANIPORTS24MAYFUT,ADANIPORTS,0.0,2024-05-30,0.0,0.05,800,FUT,NFO-FUT,NFO
30,13377794,52257,ALKEM24APRFUT,ALKEM,0.0,2024-04-25,0.0,0.05,200,FUT,NFO-FUT,NFO
31,9929730,38788,ALKEM24MARFUT,ALKEM,0.0,2024-03-28,0.0,0.05,200,FUT,NFO-FUT,NFO
32,12149250,47458,ALKEM24MAYFUT,ALKEM,0.0,2024-05-30,0.0,0.05,200,FUT,NFO-FUT,NFO
33,13378050,52258,AMBUJACEM24APRFUT,AMBUJACEM,0.0,2024-04-25,0.0,0.05,1800,FUT,NFO-FUT,NFO
34,9929986,38789,AMBUJACEM24MARFUT,AMBUJACEM,0.0,2024-03-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
35,12149506,47459,AMBUJACEM24MAYFUT,AMBUJACEM,0.0,2024-05-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
36,13381890,52273,APOLLOHOSP24APRFUT,APOLLOHOSP,0.0,2024-04-25,0.0,0.05,125,FUT,NFO-FUT,NFO
37,9931778,38796,APOLLOHOSP24MARFUT,APOLLOHOSP,0.0,2024-03-28,0.0,0.05,125,FUT,NFO-FUT,NFO
38,12149762,47460,APOLLOHOSP24MAYFUT,APOLLOHOSP,0.0,2024-05-30,0.0,0.05,125,FUT,NFO-FUT,NFO
39,13383170,52278,APOLLOTYRE24APRFUT,APOLLOTYRE,0.0,2024-04-25,0.0,0.05,1700,FUT,NFO-FUT,NFO
40,9932034,38797,APOLLOTYRE24MARFUT,APOLLOTYRE,0.0,2024-03-28,0.0,0.05,1700,FUT,NFO-FUT,NFO
