,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,10848770,42378,NIFTY2440420050PE,NIFTY,0.0,2024-04-04,20050.0,0.05,50,PE,NFO-OPT,NFO
1,10904066,42594,NIFTY2440420100PE,NIFTY,0.0,2024-04-04,20100.0,0.05,50,PE,NFO-OPT,NFO
2,10905090,42598,NIFTY2440420150PE,NIFTY,0.0,2024-04-04,20150.0,0.05,50,PE,NFO-OPT,NFO
3,10906114,42602,NIFTY2440420200PE,NIFTY,0.0,2024-04-04,20200.0,0.05,50,PE,NFO-OPT,NFO
4,10906626,42604,NIFTY2440420250PE,NIFTY,0.0,2024-04-04,20250.0,0.05,50,PE,NFO-OPT,NFO
5,11526402,45025,NIFTY2440420300PE,NIFTY,0.0,2024-04-04,20300.0,0.05,50,PE,NFO-OPT,NFO
6,11526914,45027,NIFTY2440420350PE,NIFTY,0.0,2024-04-04,20350.0,0.05,50,PE,NFO-OPT,NFO
7,11527938,45031,NIFTY2440420400PE,NIFTY,0.0,2024-04-04,20400.0,0.05,50,PE,NFO-OPT,NFO
8,11677442,45615,NIFTY2440420450PE,NIFTY,0.0,2024-04-04,20450.0,0.05,50,PE,NFO-OPT,NFO
9,11677954,45617,NIFTY2440420500PE,NIFTY,0.0,2024-04-04,20500.0,0.05,50,PE,NFO-OPT,NFO
10,11678978,45621,NIFTY2440420550PE,NIFTY,0.0,2024-04-04,20550.0,0.05,50,PE,NFO-OPT,NFO
11,11681282,45630,NIFTY2440420600PE,NIFTY,0.0,2024-04-04,20600.0,0.05,50,PE,NFO-OPT,NFO
12,11683330,45638,NIFTY2440420650PE,NIFTY,0.0,2024-04-04,20650.0,0.05,50,PE,NFO-OPT,NFO
13,11683842,45640,NIFTY2440420700PE,NIFTY,0.0,2024-04-04,20700.0,0.05,50,PE,NFO-OPT,NFO
14,11684354,45642,NIFTY2440420750PE,NIFTY,0.0,2024-04-04,20750.0,0.05,50,PE,NFO-OPT,NFO
15,11685122,45645,NIFTY2440420800PE,NIFTY,0.0,2024-04-04,20800.0,0.05,50,PE,NFO-OPT,NFO
16,11687170,45653,NIFTY2440420850PE,NIFTY,0.0,2024-04-04,20850.0,0.05,50,PE,NFO-OPT,NFO
17,11688194,45657,NIFTY2440420900PE,NIFTY,0.0,2024-04-04,20900.0,0.05,50,PE,NFO-OPT,NFO
18,11691522,45670,NIFTY2440420950PE,NIFTY,0.0,2024-04-04,20950.0,0.05,50,PE,NFO-OPT,NFO
19,11692034,45672,NIFTY2440421000PE,NIFTY,0.0,2024-04-04,21000.0,0.05,50,PE,NFO-OPT,NFO
20,11692546,45674,NIFTY2440421050PE,NIFTY,0.0,2024-04-04,21050.0,0.05,50,PE,NFO-OPT,NFO
21,11693058,45676,NIFTY2440421100PE,NIFTY,0.0,2024-04-04,21100.0,0.05,50,PE,NFO-OPT,NFO
22,11693570,45678,NIFTY2440421150PE,NIFTY,0.0,2024-04-04,21150.0,0.05,50,PE,NFO-OPT,NFO
23,11695106,45684,NIFTY2440421200PE,NIFTY,0.0,2024-04-04,21200.0,0.05,50,PE,NFO-OPT,NFO
24,11695618,45686,NIFTY2440421250PE,NIFTY,0.0,2024-04-04,21250.0,0.05,50,PE,NFO-OPT,NFO
25,11696130,45688,NIFTY2440421300PE,NIFTY,0.0,2024-04-04,21300.0,0.05,50,PE,NFO-OPT,NFO
26,11697410,45693,NIFTY2440421350PE,NIFTY,0.0,2024-04-04,21350.0,0.05,50,PE,NFO-OPT,NFO
27,11699714,45702,NIFTY2440421400PE,NIFTY,0.0,2024-04-04,21400.0,0.05,50,PE,NFO-OPT,NFO
28,11700482,45705,NIFTY2440421450PE,NIFTY,0.0,2024-04-04,21450.0,0.05,50,PE,NFO-OPT,NFO
29,11702274,45712,NIFTY2440421500PE,NIFTY,0.0,2024-04-04,21500.0,0.05,50,PE,NFO-OPT,NFO
30,11703042,45715,NIFTY2440421550PE,NIFTY,0.0,2024-04-04,21550.0,0.05,50,PE,NFO-OPT,NFO
31,11703810,45718,NIFTY2440421600PE,NIFTY,0.0,2024-04-04,21600.0,0.05,50,PE,NFO-OPT,NFO
32,11704322,45720,NIFTY2440421650PE,NIFTY,0.0,2024-04-04,21650.0,0.05,50,PE,NFO-OPT,NFO
33,11704834,45722,NIFTY2440421700PE,NIFTY,0.0,2024-04-04,21700.0,0.05,50,PE,NFO-OPT,NFO
34,11706370,45728,NIFTY2440421750PE,NIFTY,0.0,2024-04-04,21750.0,0.05,50,PE,NFO-OPT,NFO
35,11706882,45730,NIFTY2440421800PE,NIFTY,0.0,2024-04-04,21800.0,0.05,50,PE,NFO-OPT,NFO
36,11707394,45732,NIFTY2440421850PE,NIFTY,0.0,2024-04-04,21850.0,0.05,50,PE,NFO-OPT,NFO
37,11708162,45735,NIFTY2440421900PE,NIFTY,0.0,2024-04-04,21900.0,0.05,50,PE,NFO-OPT,NFO
38,11709698,45741,NIFTY2440421950PE,NIFTY,0.0,2024-04-04,21950.0,0.05,50,PE,NFO-OPT,NFO
39,11710466,45744,NIFTY2440422000PE,NIFTY,0.0,2024-04-04,22000.0,0.05,50,PE,NFO-OPT,NFO
40,11712002,45750,NIFTY2440422050PE,NIFTY,0.0,2024-04-04,22050.0,0.05,50,PE,NFO-OPT,NFO
