,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,15440898,60316,NIFTY24MAR14000PE,NIFTY,0.0,2024-03-28,14000.0,0.05,50,PE,NFO-OPT,NFO
1,15441410,60318,NIFTY24MAR15000PE,NIFTY,0.0,2024-03-28,15000.0,0.05,50,PE,NFO-OPT,NFO
2,15441922,60320,NIFTY24MAR16000PE,NIFTY,0.0,2024-03-28,16000.0,0.05,50,PE,NFO-OPT,NFO
3,15442434,60322,NIFTY24MAR17000PE,NIFTY,0.0,2024-03-28,17000.0,0.05,50,PE,NFO-OPT,NFO
4,15442946,60324,NIFTY24MAR18000PE,NIFTY,0.0,2024-03-28,18000.0,0.05,50,PE,NFO-OPT,NFO
5,15443458,60326,NIFTY24MAR19000PE,NIFTY,0.0,2024-03-28,19000.0,0.05,50,PE,NFO-OPT,NFO
6,17206530,67213,NIFTY24MAR19500PE,NIFTY,0.0,2024-03-28,19500.0,0.05,50,PE,NFO-OPT,NFO
7,17207042,67215,NIFTY24MAR19550PE,NIFTY,0.0,2024-03-28,19550.0,0.05,50,PE,NFO-OPT,NFO
8,17207554,67217,NIFTY24MAR19600PE,NIFTY,0.0,2024-03-28,19600.0,0.05,50,PE,NFO-OPT,NFO
9,17208066,67219,NIFTY24MAR19650PE,NIFTY,0.0,2024-03-28,19650.0,0.05,50,PE,NFO-OPT,NFO
10,17208578,67221,NIFTY24MAR19700PE,NIFTY,0.0,2024-03-28,19700.0,0.05,50,PE,NFO-OPT,NFO
11,17209090,67223,NIFTY24MAR19750PE,NIFTY,0.0,2024-03-28,19750.0,0.05,50,PE,NFO-OPT,NFO
12,17209602,67225,NIFTY24MAR19800PE,NIFTY,0.0,2024-03-28,19800.0,0.05,50,PE,NFO-OPT,NFO
13,17210114,67227,NIFTY24MAR19850PE,NIFTY,0.0,2024-03-28,19850.0,0.05,50,PE,NFO-OPT,NFO
14,17210626,67229,NIFTY24MAR19900PE,NIFTY,0.0,2024-03-28,19900.0,0.05,50,PE,NFO-OPT,NFO
15,17211138,67231,NIFTY24MAR19950PE,NIFTY,0.0,2024-03-28,19950.0,0.05,50,PE,NFO-OPT,NFO
16,15443970,60328,NIFTY24MAR20000PE,NIFTY,0.0,2024-03-28,20000.0,0.05,50,PE,NFO-OPT,NFO
17,17211650,67233,NIFTY24MAR20050PE,NIFTY,0.0,2024-03-28,20050.0,0.05,50,PE,NFO-OPT,NFO
18,17212162,67235,NIFTY24MAR20100PE,NIFTY,0.0,2024-03-28,20100.0,0.05,50,PE,NFO-OPT,NFO
19,17212674,67237,NIFTY24MAR20150PE,NIFTY,0.0,2024-03-28,20150.0,0.05,50,PE,NFO-OPT,NFO
20,17213186,67239,NIFTY24MAR20200PE,NIFTY,0.0,2024-03-28,20200.0,0.05,50,PE,NFO-OPT,NFO
21,17213698,67241,NIFTY24MAR20250PE,NIFTY,0.0,2024-03-28,20250.0,0.05,50,PE,NFO-OPT,NFO
22,17214210,67243,NIFTY24MAR20300PE,NIFTY,0.0,2024-03-28,20300.0,0.05,50,PE,NFO-OPT,NFO
23,17214722,67245,NIFTY24MAR20350PE,NIFTY,0.0,2024-03-28,20350.0,0.05,50,PE,NFO-OPT,NFO
24,17215490,67248,NIFTY24MAR20400PE,NIFTY,0.0,2024-03-28,20400.0,0.05,50,PE,NFO-OPT,NFO
25,17216002,67250,NIFTY24MAR20450PE,NIFTY,0.0,2024-03-28,20450.0,0.05,50,PE,NFO-OPT,NFO
