time,trade_type,indicator,ltp,target,stoploss,profit,cumulative_profit
11/01/2023 13:15,entry,short,19001.95,18963.9461,19020.95195,nan,0
11/01/2023 13:42,exit,reached stoploss,19021.1,nan,nan,-957.5,-957.5
11/01/2023 15:20,entry,short,18980.2,18942.2396,18999.1802,nan,-957.5
11/02/2023 09:20,reset tgt/sl,long,19142.85,19181.1357,19123.70715,nan,-957.5
11/02/2023 10:12,exit,reached stoploss,19122.1,nan,nan,7095,6137.5
11/03/2023 09:20,entry,long,19248.35,19286.8467,19229.10165,nan,6137.5
11/03/2023 14:45,exit,reached stoploss,19229,nan,nan,-967.5,5170
11/06/2023 15:05,entry,long,19407.8,19446.6156,19388.3922,nan,5170
11/07/2023 13:55,reset tgt/sl,long,19394.5,19433.289,19375.1055,nan,5170
11/07/2023 15:25,reset tgt/sl,long,19418.1,19456.9362,19398.6819,nan,5170
11/08/2023 14:35,reset tgt/sl,short,19422,19383.156,19441.422,nan,5170
11/08/2023 15:00,exit,reached stoploss,19441.65,nan,nan,-1177.5,3992.5
11/09/2023 09:20,entry,short,19413.3,19374.4734,19432.7133,nan,3992.5
11/09/2023 09:27,exit,reached stoploss,19432.95,nan,nan,-982.5,3010
21/11/2023 12:20,entry,long,19809,19848.618,19789.191,nan,3010
21/11/2023 13:09,exit,reached stoploss,19787.15,nan,nan,-1092.5,1917.5
22/11/2023 11:55,entry,short,19766.45,19726.9171,19786.21645,nan,1917.5
22/11/2023 12:15,reset tgt/sl,short,19755.1,19715.5898,19774.8551,nan,1917.5
22/11/2023 12:26,exit,achieved target,19715.15,nan,nan,2565,4482.5
23/11/2023 09:20,entry,long,19840.9,19880.5818,19821.0591,nan,4482.5
23/11/2023 10:18,exit,reached stoploss,19820.85,nan,nan,-1002.5,3480
24/11/2023 13:15,entry,short,19775.15,19735.5997,19794.92515,nan,3480
24/11/2023 13:58,exit,reached stoploss,19795.55,nan,nan,-1020,2460
28/11/2023 14:25,entry,long,19867.2,19906.9344,19847.3328,nan,2460
28/11/2023 15:24,exit,achieved target,19907.2,nan,nan,2000,4460
,,,,,,,
,,,,,,,
2023-11-30 09:20:00,entry,long,20113.0,20153.226,20092.887,nan,nan
2023-11-30 09:35:10,exit,reached stoploss,20092.65,nan,nan,-1017.4999999999272,nan
2023-11-30 09:55:00,entry,short,20048.2,20008.103600000002,20068.248199999998,nan,nan
2023-11-30 10:17:32,exit,reached stoploss,20068.45,nan,nan,-1012.5,nan
2023-11-30 13:45:00,entry,long,20103.05,20143.2561,20082.946949999998,nan,nan
2023-11-30 14:00:56,exit,reached stoploss,20082.9,nan,nan,-1007.4999999998909,nan
2023-11-30 15:10:00,entry,long,20131.1,20171.3622,20110.9689,nan,nan
2023-11-30 15:25:00,reset tgt/sl,long,20154.4,20194.7088,20134.245600000002,nan,nan
2023-11-30 15:25:01,exit,reached expiry,20154.35,nan,nan,1162.5,nan
2023-12-04 13:35:00,entry,long,20616.8,20658.0336,20596.1832,nan,nan
2023-12-04 13:48:01,exit,reached stoploss,20594.75,nan,nan,-1102.4999999999636,nan
2023-12-04 14:10:00,entry,long,20636.7,20677.973400000003,20616.0633,nan,nan
2023-12-04 14:45:00,reset tgt/sl,long,20669.95,20711.2899,20649.28005,nan,nan
2023-12-04 15:00:00,reset tgt/sl,long,20681.55,20722.913099999998,20660.868449999998,nan,nan
2023-12-04 15:04:17,exit,reached stoploss,20660.3,nan,nan,1179.9999999999272,nan
2023-12-05 14:40:00,entry,long,20825.35,20867.000699999997,20804.52465,nan,nan
2023-12-06 09:15:00,exit,achieved target,20950.75,nan,nan,6270.000000000073,nan
2023-12-06 13:15:00,entry,short,20873.75,20832.0025,20894.62375,nan,nan
2023-12-06 13:33:01,exit,reached stoploss,20894.9,nan,nan,-1057.5000000000728,nan
2023-12-07 09:20:00,entry,short,20866.15,20824.4177,20887.01615,nan,nan
2023-12-07 09:21:08,exit,reached stoploss,20887.9,nan,nan,-1087.5,nan
2023-12-08 09:20:00,entry,long,20946.4,20988.292800000003,20925.4536,nan,nan
2023-12-08 09:53:52,exit,achieved target,20989.2,nan,nan,2139.9999999999636,nan
2023-12-08 13:05:00,entry,short,20904.85,20863.040299999997,20925.754849999998,nan,nan
2023-12-08 13:16:19,exit,reached stoploss,20928.15,nan,nan,-1165.0000000001455,nan
2023-12-08 15:05:00,entry,long,20960.25,21002.1705,20939.28975,nan,nan
2023-12-11 09:15:01,exit,reached stoploss,20932.0,nan,nan,-1412.5,nan
2023-12-11 09:20:00,entry,long,21004.95,21046.9599,20983.945050000002,nan,nan
2023-12-11 09:21:00,exit,reached stoploss,20983.9,nan,nan,-1052.4999999999636,nan
2023-12-12 09:20:00,entry,long,21026.7,21068.7534,21005.673300000002,nan,nan
2023-12-12 10:13:11,exit,reached stoploss,21004.25,nan,nan,-1122.5000000000364,nan
2023-12-12 12:50:00,entry,short,20972.5,20930.555,20993.472499999996,nan,nan
2023-12-12 14:25:00,reset tgt/sl,short,20932.65,20890.7847,20953.58265,nan,nan
2023-12-12 14:40:00,reset tgt/sl,short,20915.15,20873.3197,20936.06515,nan,nan
2023-12-12 14:52:47,exit,achieved target,20872.3,nan,nan,5010.000000000036,nan
2023-12-13 11:35:00,entry,short,20792.6,20751.014799999997,20813.392599999996,nan,nan
2023-12-13 12:58:42,exit,reached stoploss,20813.75,nan,nan,-1057.5000000000728,nan
2023-12-13 13:40:00,entry,long,20860.45,20902.1709,20839.58955,nan,nan
2023-12-13 13:55:00,reset tgt/sl,long,20881.2,20922.9624,20860.3188,nan,nan
2023-12-13 14:41:49,exit,reached stoploss,20859.9,nan,nan,-27.49999999996362,nan
2023-12-13 15:05:00,entry,long,20916.8,20958.6336,20895.8832,nan,nan
2023-12-14 09:15:00,exit,achieved target,21110.4,nan,nan,9680.00000000011,nan
2023-12-14 13:20:01,entry,long,21194.5,21236.889,21173.3055,nan,nan
2023-12-14 13:35:00,reset tgt/sl,long,21208.9,21251.3178,21187.6911,nan,nan
2023-12-14 13:49:39,exit,reached stoploss,21187.45,nan,nan,-352.4999999999636,nan
2023-12-15 14:00:00,entry,long,21362.0,21404.724,21340.638,nan,nan
2023-12-15 14:06:16,exit,reached stoploss,21339.95,nan,nan,-1102.4999999999636,nan
2023-12-15 14:55:00,entry,long,21389.3,21432.0786,21367.9107,nan,nan
2023-12-15 15:02:33,exit,achieved target,21432.8,nan,nan,2175.0,nan
2023-12-19 09:45:00,entry,short,21374.3,21331.5514,21395.674299999995,nan,nan
2023-12-19 10:43:16,exit,reached stoploss,21396.05,nan,nan,-1087.5,nan
2023-12-20 09:20:00,entry,long,21562.3,21605.4246,21540.737699999998,nan,nan
2023-12-20 10:07:31,exit,reached stoploss,21540.45,nan,nan,-1092.4999999999272,nan
2023-12-21 12:30:00,entry,long,21213.05,21255.4761,21191.83695,nan,nan
2023-12-21 12:54:47,exit,achieved target,21257.3,nan,nan,2212.5,nan
2023-12-22 09:50:00,entry,long,21332.05,21374.7141,21310.71795,nan,nan
2023-12-22 10:58:43,exit,achieved target,21375.05,nan,nan,2150.0,nan
2023-12-27 09:20:00,entry,long,21522.1,21565.1442,21500.5779,nan,nan
2023-12-27 09:54:52,exit,achieved target,21565.3,nan,nan,2160.0000000000364,nan
2023-12-27 15:05:00,entry,long,21637.5,21680.775,21615.8625,nan,nan
2023-12-28 09:14:59,exit,achieved target,21715.0,nan,nan,3875.0,nan
2023-12-28 09:20:00,entry,long,21720.6,21764.0412,21698.879399999998,nan,nan
2023-12-28 10:05:03,exit,reached stoploss,21698.05,nan,nan,-1127.4999999999636,nan
2023-12-28 12:30:00,entry,long,21762.65,21806.175300000003,21740.88735,nan,nan
2023-12-28 13:28:06,exit,reached stoploss,21740.75,nan,nan,-1095.0000000000728,nan
2023-12-29 09:20:00,entry,short,21714.2,21670.7716,21735.9142,nan,nan
2023-12-29 09:30:59,exit,reached stoploss,21736.55,nan,nan,-1117.4999999999272,nan
2023-12-29 14:25:00,entry,short,21681.7,21638.336600000002,21703.381699999998,nan,nan
2023-12-29 14:31:49,exit,reached stoploss,21704.4,nan,nan,-1135.0000000000364,nan
2024-01-01 14:05:00,entry,long,21778.9,21822.4578,21757.1211,nan,nan
2024-01-01 14:45:00,reset tgt/sl,long,21816.3,21859.9326,21794.4837,nan,nan
2024-01-01 15:07:40,exit,reached stoploss,21794.1,nan,nan,759.9999999998545,nan
2024-01-02 10:00:00,entry,short,21636.05,21592.7779,21657.686049999997,nan,nan
2024-01-02 10:03:19,exit,reached stoploss,21657.95,nan,nan,-1095.0000000000728,nan
2024-01-02 14:40:00,entry,long,21680.55,21723.911099999998,21658.86945,nan,nan
2024-01-02 14:59:36,exit,reached stoploss,21658.45,nan,nan,-1104.9999999999272,nan
2024-01-03 12:25:00,entry,short,21529.15,21486.0917,21550.67915,nan,nan
2024-01-03 12:51:47,exit,reached stoploss,21550.7,nan,nan,-1077.4999999999636,nan
2024-01-05 09:20:00,entry,long,21742.25,21785.7345,21720.50775,nan,nan
2024-01-05 09:25:02,exit,reached stoploss,21719.9,nan,nan,-1117.4999999999272,nan
2024-01-05 14:10:00,entry,short,21657.35,21614.0353,21679.007349999996,nan,nan
2024-01-05 14:44:18,exit,reached stoploss,21680.15,nan,nan,-1140.0000000001455,nan
2024-01-08 11:55:00,entry,short,21568.35,21525.2133,21589.918349999996,nan,nan
2024-01-08 12:09:28,exit,reached stoploss,21590.0,nan,nan,-1082.5000000000728,nan
2024-01-08 15:05:00,entry,short,21516.55,21473.5169,21538.066549999996,nan,nan
2024-01-09 09:14:59,exit,reached stoploss,21653.6,nan,nan,-6852.499999999964,nan
2024-01-09 14:10:01,entry,short,21665.05,21621.7199,21686.715049999995,nan,nan
2024-01-09 14:19:42,exit,achieved target,21621.4,nan,nan,2182.499999999891,nan
2024-01-09 15:15:00,entry,short,21543.2,21500.1136,21564.743199999997,nan,nan
2024-01-10 09:25:00,reset tgt/sl,short,21531.7,21488.6366,21553.231699999997,nan,nan
2024-01-10 09:28:57,exit,achieved target,21486.6,nan,nan,2830.000000000109,nan
2024-01-11 09:20:00,entry,long,21720.45,21763.890900000002,21698.72955,nan,nan
2024-01-11 09:24:12,exit,reached stoploss,21697.8,nan,nan,-1132.5000000000728,nan
2024-01-11 14:10:00,entry,short,21638.9,21595.6222,21660.5389,nan,nan
2024-01-11 14:14:29,exit,achieved target,21595.35,nan,nan,2177.5000000001455,nan
2024-01-12 13:40:00,entry,long,21876.15,21919.9023,21854.27385,nan,nan
2024-01-12 14:38:20,exit,achieved target,21921.25,nan,nan,2254.9999999999272,nan
2024-01-12 14:40:01,entry,long,21925.35,21969.200699999998,21903.424649999997,nan,nan
2024-01-12 14:49:40,exit,reached stoploss,21900.95,nan,nan,-1219.9999999998909,nan
2024-01-16 13:35:00,entry,short,21987.7,21943.7246,22009.6877,nan,nan
2024-01-16 13:44:23,exit,reached stoploss,22011.55,nan,nan,-1192.4999999999272,nan
2024-01-17 14:30:00,entry,short,21603.6,21560.392799999998,21625.203599999997,nan,nan
2024-01-17 14:50:02,exit,achieved target,21560.3,nan,nan,2164.9999999999636,nan
2024-01-19 09:20:00,entry,long,21645.55,21688.841099999998,21623.904449999998,nan,nan
2024-01-19 09:32:38,exit,reached stoploss,21622.8,nan,nan,-1137.5,nan
2024-01-19 13:20:00,entry,long,21636.75,21680.0235,21615.11325,nan,nan
2024-01-19 13:26:11,exit,reached stoploss,21613.95,nan,nan,-1139.9999999999636,nan
2024-01-23 09:20:00,entry,long,21727.4,21770.8548,21705.6726,nan,nan
2024-01-23 09:31:23,exit,reached stoploss,21704.55,nan,nan,-1142.5000000001091,nan
2024-01-23 13:55:01,entry,short,21327.7,21285.0446,21349.0277,nan,nan
2024-01-23 14:15:01,reset tgt/sl,short,21312.15,21269.525700000002,21333.46215,nan,nan
2024-01-23 14:23:03,exit,achieved target,21269.05,nan,nan,2932.5000000000728,nan
2024-01-23 15:00:00,entry,short,21221.15,21178.707700000003,21242.37115,nan,nan
2024-01-23 15:08:53,exit,reached stoploss,21243.55,nan,nan,-1119.9999999998909,nan
2024-01-24 09:20:00,entry,short,21147.75,21105.4545,21168.897749999996,nan,nan
2024-01-24 09:20:24,exit,reached stoploss,21172.05,nan,nan,-1214.9999999999636,nan
2024-01-29 13:55:00,entry,long,21722.45,21765.8949,21700.72755,nan,nan
2024-01-29 14:58:40,exit,reached stoploss,21699.75,nan,nan,-1135.0000000000364,nan
2024-01-30 09:20:00,entry,long,21804.3,21847.9086,21782.4957,nan,nan
2024-01-30 09:20:29,exit,reached stoploss,21779.7,nan,nan,-1229.9999999999272,nan
2024-01-30 14:10:00,entry,short,21642.05,21598.7659,21663.692049999998,nan,nan
2024-01-30 14:14:47,exit,reached stoploss,21665.1,nan,nan,-1152.4999999999636,nan
2024-01-30 14:30:00,entry,short,21615.85,21572.6183,21637.465849999997,nan,nan
